timestamp,year,Game of the Year,Best Independent Game,Best Narrative,Best Art Direction,Best Soundtrack,Best Multiplayer,Best Game Direction
2026-09-10T19:58:01.380357,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:01.761512,2025,FlatSchema_1789081081403,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:51.089324,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T19:58:51.476245,2025,TestGame_1789081131116,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:51.843593,2025,CsvTestGame_1789081131496,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:52.941227,2025,PartialNull_1789081132579,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:53.341765,2025,PartialNan_1789081132971,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:53.691673,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:54.074034,2025,FlatSchema_1789081133710,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:56.751567,2025,"TestGame, With Comma 1789081136",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:57.153389,2025,"Game ""Quoted"" 1789081136",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:57.504303,2025,Ghost of Yōtei 1789081137,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:57.884815,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:57.901299,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:57.915874,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:57.930068,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:57.944893,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:58.299462,2025,OneOfSeven_1789081137,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:58.681335,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T19:58:59.033529,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:59.417457,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:59.771663,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:58:59.790977,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:00.706981,2025,E2E_GOTY_Pick_1789081140349,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T19:59:01.059887,2025,Partial_CSV_Pick_1789081140726,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:01.440856,2025,Full_1789081141082_Game_of_the_Year,Full_1789081141082_Best_Independent_Game,Full_1789081141082_Best_Narrative,Full_1789081141082_Best_Art_Direction,Full_1789081141082_Best_Soundtrack,Full_1789081141082_Best_Multiplayer,Full_1789081141082_Best_Game_Direction
2026-09-10T19:59:01.829438,2024,Toggle_1789081141463,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:03.201141,2014,Game2014_1789081142,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:03.224045,2020,Game2020_1789081142,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:03.250512,2025,Game2025_1789081142,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:03.932219,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789081143",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:04.380718,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:04.809340,2025,Roundtrip_1789081144441,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:05.184221,2025,Clair Obscur: Expedition 33 S2_1789081144846,Blue Prince S2_1789081144846,Silent Hill f S2_1789081144846,Ghost of Yōtei S2_1789081144846,Hades II S2_1789081144846,Arc Raiders S2_1789081144846,Death Stranding 2 S2_1789081144846
2026-09-10T19:59:05.571232,2024,Balatro S3_1789081145206,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789081145206,NaN,NaN
2026-09-10T19:59:14.084419,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T19:59:14.490942,2025,TestGame_1789081154111,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:14.845435,2025,CsvTestGame_1789081154510,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:15.957201,2025,PartialNull_1789081155575,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:16.345965,2025,PartialNan_1789081155976,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:16.719366,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:17.072097,2025,FlatSchema_1789081156735,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:19.890816,2025,"TestGame, With Comma 1789081159",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:20.284129,2025,"Game ""Quoted"" 1789081159",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:20.672953,2025,Ghost of Yōtei 1789081160,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:21.024557,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:21.043698,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:21.057979,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:21.073189,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:21.108747,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:21.461628,2025,OneOfSeven_1789081161,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:21.839196,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T19:59:22.227126,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:22.602374,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:22.953278,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:22.988952,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:23.967796,2025,E2E_GOTY_Pick_1789081163608,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T19:59:24.322555,2025,Partial_CSV_Pick_1789081163990,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:24.718815,2025,Full_1789081164361_Game_of_the_Year,Full_1789081164361_Best_Independent_Game,Full_1789081164361_Best_Narrative,Full_1789081164361_Best_Art_Direction,Full_1789081164361_Best_Soundtrack,Full_1789081164361_Best_Multiplayer,Full_1789081164361_Best_Game_Direction
2026-09-10T19:59:25.105732,2024,Toggle_1789081164740,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:26.474261,2014,Game2014_1789081166,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:26.494657,2020,Game2020_1789081166,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:26.510791,2025,Game2025_1789081166,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:26.883703,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789081166",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:27.281421,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:27.689874,2025,Roundtrip_1789081167340,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T19:59:28.101857,2025,Clair Obscur: Expedition 33 S2_1789081167744,Blue Prince S2_1789081167744,Silent Hill f S2_1789081167744,Ghost of Yōtei S2_1789081167744,Hades II S2_1789081167744,Arc Raiders S2_1789081167744,Death Stranding 2 S2_1789081167744
2026-09-10T19:59:28.453499,2024,Balatro S3_1789081168123,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789081168123,NaN,NaN
2026-09-10T20:02:19.253564,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:02:19.645379,2025,TestGame_1789081339274,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:20.018961,2025,CsvTestGame_1789081339663,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:21.197359,2025,PartialNull_1789081340807,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:21.585206,2025,PartialNan_1789081341222,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:21.969953,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:22.341669,2025,FlatSchema_1789081341988,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:25.048291,2025,"TestGame, With Comma 1789081344",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:25.483446,2025,"Game ""Quoted"" 1789081345",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:25.859037,2025,Ghost of Yōtei 1789081345,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:26.248335,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:26.269042,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:26.308218,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:26.323148,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:26.340294,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:26.707443,2025,OneOfSeven_1789081346,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:27.087896,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:02:27.252003,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:02:27.474626,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:27.663315,2025,TestGame_1789081347285,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:27.851671,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:28.037687,2025,CsvTestGame_1789081347685,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:28.246717,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:28.293426,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:29.166958,2025,PartialNull_1789081348811,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:29.227541,2025,E2E_GOTY_Pick_1789081348872,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:02:29.532889,2025,PartialNan_1789081349188,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:29.602080,2025,Partial_CSV_Pick_1789081349250,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:29.927464,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:29.956078,2025,Full_1789081349623_Game_of_the_Year,Full_1789081349623_Best_Independent_Game,Full_1789081349623_Best_Narrative,Full_1789081349623_Best_Art_Direction,Full_1789081349623_Best_Soundtrack,Full_1789081349623_Best_Multiplayer,Full_1789081349623_Best_Game_Direction
2026-09-10T20:02:30.329041,2025,FlatSchema_1789081349946,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:30.345269,2024,Toggle_1789081349979,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:31.784596,2014,Game2014_1789081351,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:31.813228,2020,Game2020_1789081351,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:31.830972,2025,Game2025_1789081351,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:32.182413,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789081351",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:32.625628,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:33.036856,2025,Roundtrip_1789081352697,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:33.042516,2025,"TestGame, With Comma 1789081352",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:33.410126,2025,"Game ""Quoted"" 1789081353",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:33.456241,2025,Clair Obscur: Expedition 33 S2_1789081353077,Blue Prince S2_1789081353077,Silent Hill f S2_1789081353077,Ghost of Yōtei S2_1789081353077,Hades II S2_1789081353077,Arc Raiders S2_1789081353077,Death Stranding 2 S2_1789081353077
2026-09-10T20:02:33.800229,2025,Ghost of Yōtei 1789081353,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:33.831457,2024,Balatro S3_1789081353479,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789081353479,NaN,NaN
2026-09-10T20:02:34.166572,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:34.187147,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:34.209463,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:34.246833,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:34.266522,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:34.630402,2025,OneOfSeven_1789081354,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:35.012355,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:02:35.378661,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:35.733987,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:36.087027,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:36.124032,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:37.034500,2025,E2E_GOTY_Pick_1789081356680,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:02:37.422630,2025,Partial_CSV_Pick_1789081357058,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:37.813701,2025,Full_1789081357441_Game_of_the_Year,Full_1789081357441_Best_Independent_Game,Full_1789081357441_Best_Narrative,Full_1789081357441_Best_Art_Direction,Full_1789081357441_Best_Soundtrack,Full_1789081357441_Best_Multiplayer,Full_1789081357441_Best_Game_Direction
2026-09-10T20:02:38.199086,2024,Toggle_1789081357837,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:39.616184,2014,Game2014_1789081359,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:39.636803,2020,Game2020_1789081359,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:39.660903,2025,Game2025_1789081359,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:40.053569,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789081359",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:40.470800,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:40.886537,2025,Roundtrip_1789081360529,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:02:41.254146,2025,Clair Obscur: Expedition 33 S2_1789081360923,Blue Prince S2_1789081360923,Silent Hill f S2_1789081360923,Ghost of Yōtei S2_1789081360923,Hades II S2_1789081360923,Arc Raiders S2_1789081360923,Death Stranding 2 S2_1789081360923
2026-09-10T20:02:41.642436,2024,Balatro S3_1789081361278,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789081361278,NaN,NaN
2026-09-10T20:03:52.703100,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:03:53.102803,2025,TestGame_1789081432729,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:03:53.491557,2025,CsvTestGame_1789081433125,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:03:54.918497,2025,PartialNull_1789081434234,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:03:55.310463,2025,PartialNan_1789081434949,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:03:55.677523,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:03:56.068054,2025,FlatSchema_1789081435696,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:03:58.871128,2025,"TestGame, With Comma 1789081438",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:03:59.253680,2025,"Game ""Quoted"" 1789081438",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:03:59.641188,2025,Ghost of Yōtei 1789081439,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:00.042504,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:00.095779,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:00.157694,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:00.176850,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:00.219576,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:00.609465,2025,OneOfSeven_1789081440,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:00.961709,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:04:01.339162,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:02.004536,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:02.379872,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:02.408421,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:03.355200,2025,E2E_GOTY_Pick_1789081443018,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:04:03.748955,2025,Partial_CSV_Pick_1789081443379,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:04.100980,2025,Full_1789081443767_Game_of_the_Year,Full_1789081443767_Best_Independent_Game,Full_1789081443767_Best_Narrative,Full_1789081443767_Best_Art_Direction,Full_1789081443767_Best_Soundtrack,Full_1789081443767_Best_Multiplayer,Full_1789081443767_Best_Game_Direction
2026-09-10T20:04:04.459966,2024,Toggle_1789081444125,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:05.941178,2014,Game2014_1789081445,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:05.961839,2020,Game2020_1789081445,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:05.998335,2025,Game2025_1789081445,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:06.399942,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789081446",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:06.837514,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:07.269922,2025,Roundtrip_1789081446910,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:04:07.651958,2025,Clair Obscur: Expedition 33 S2_1789081447309,Blue Prince S2_1789081447309,Silent Hill f S2_1789081447309,Ghost of Yōtei S2_1789081447309,Hades II S2_1789081447309,Arc Raiders S2_1789081447309,Death Stranding 2 S2_1789081447309
2026-09-10T20:04:08.028871,2024,Balatro S3_1789081447677,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789081447677,NaN,NaN
2026-09-10T20:06:19.319422,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:06:20.025302,2025,TestGame_1789081579343,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:20.740754,2025,CsvTestGame_1789081580050,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:22.137061,2025,PartialNull_1789081581796,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:22.523289,2025,PartialNan_1789081582178,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:22.886689,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:23.271351,2025,FlatSchema_1789081582903,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:26.017431,2025,"TestGame, With Comma 1789081585",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:26.431070,2025,"Game ""Quoted"" 1789081586",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:26.837805,2025,Ghost of Yōtei 1789081586,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:27.240949,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:27.260906,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:27.301770,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:27.320291,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:27.338164,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:27.726785,2025,OneOfSeven_1789081587,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:28.112320,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:06:28.502129,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:28.888470,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:29.240423,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:29.260408,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:30.187482,2025,E2E_GOTY_Pick_1789081589828,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:06:30.555138,2025,Partial_CSV_Pick_1789081590211,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:30.932099,2025,Full_1789081590575_Game_of_the_Year,Full_1789081590575_Best_Independent_Game,Full_1789081590575_Best_Narrative,Full_1789081590575_Best_Art_Direction,Full_1789081590575_Best_Soundtrack,Full_1789081590575_Best_Multiplayer,Full_1789081590575_Best_Game_Direction
2026-09-10T20:06:31.299620,2024,Toggle_1789081590954,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:32.658340,2014,Game2014_1789081592,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:32.678774,2020,Game2020_1789081592,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:32.698416,2025,Game2025_1789081592,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:33.069157,2025,"Ghost of Yōtei: Director's ""Special"" Edition 1789081592",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:06:33.506219,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:07.393756,2025,Clair Obscur: Expedition 33 S2_1789081627008,Blue Prince S2_1789081627008,Silent Hill f S2_1789081627008,Ghost of Yōtei S2_1789081627008,Hades II S2_1789081627008,Arc Raiders S2_1789081627008,Death Stranding 2 S2_1789081627008
2026-09-10T20:07:07.801262,2024,Balatro S3_1789081627430,NaN,NaN,NaN,Final Fantasy VII Rebirth S3_1789081627430,NaN,NaN
2026-09-10T20:07:15.955278,2025,Clair Obscur: Expedition 33,Silksong,Clair Obscur: Expedition 33,Ghost of Yōtei,Clair Obscur: Expedition 33,Arc Raiders,Clair Obscur: Expedition 33
2026-09-10T20:07:16.392099,2025,TestGame_1789081635995,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:16.780382,2025,CsvTestGame_1789081636414,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:17.914105,2025,PartialNull_1789081637546,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:18.305500,2025,PartialNan_1789081637940,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:18.670024,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:19.038365,2025,FlatSchema_1789081638686,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:21.763687,2025,"TestGame, With Comma 1789081641",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:22.148075,2025,"Game ""Quoted"" 1789081641",NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:22.522700,2025,Ghost of Yōtei 1789081642,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:22.896758,2025,Rapid_0,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:22.925514,2025,Rapid_1,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:22.956092,2025,Rapid_2,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:22.975965,2025,Rapid_3,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:22.995789,2025,Rapid_4,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:23.390736,2025,OneOfSeven_1789081643,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:23.766368,2025,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,NaN
2026-09-10T20:07:24.153349,2025,Test Game,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:24.529236,2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:24.944746,2025,Game A,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:24.963872,2025,Game B,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:25.909231,2025,E2E_GOTY_Pick_1789081645535,NaN,Clair Obscur: Expedition 33,NaN,NaN,NaN,NaN
2026-09-10T20:07:26.306746,2025,Partial_CSV_Pick_1789081645940,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:26.673110,2025,Full_1789081646328_Game_of_the_Year,Full_1789081646328_Best_Independent_Game,Full_1789081646328_Best_Narrative,Full_1789081646328_Best_Art_Direction,Full_1789081646328_Best_Soundtrack,Full_1789081646328_Best_Multiplayer,Full_1789081646328_Best_Game_Direction
2026-09-10T20:07:27.053810,2024,Toggle_1789081646695,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:28.399542,2014,Game2014_1789081648,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-10T20:07:28.421323,2020,Game2020_1789081648,NaN,NaN,NaN,NaN,NaN,NaN
